Datetime,open,high,low,close,Volume,Average Volume
2023-01-02 00:00:00,130.821,130.861,130.736,130.754,127,1646.9288763592428
2023-01-02 00:30:00,130.754,130.838,130.744,130.753,247,1646.9288763592428
2023-01-02 01:00:00,130.761,130.786,130.685,130.745,287,1646.9288763592428
2023-01-02 01:30:00,130.745,130.865,130.731,130.865,219,1646.9288763592428
2023-01-02 02:00:00,130.865,131.027,130.861,130.989,498,1646.9288763592428
2023-01-02 02:30:00,130.99,131.018,130.792,130.794,254,1646.9288763592428
2023-01-02 03:00:00,130.794,130.882,130.78,130.873,334,1646.9288763592428
2023-01-02 03:30:00,130.873,130.908,130.807,130.889,359,1646.9288763592428
2023-01-02 04:00:00,130.889,130.974,130.873,130.953,229,1646.9288763592428
2023-01-02 04:30:00,130.941,130.965,130.93,130.955,270,1646.9288763592428
2023-01-02 05:00:00,130.948,130.959,130.894,130.929,187,1646.9288763592428
2023-01-02 05:30:00,130.911,130.953,130.853,130.918,329,1646.9288763592428
2023-01-02 06:00:00,130.918,130.922,130.871,130.905,494,1646.9288763592428
2023-01-02 06:30:00,130.905,130.915,130.864,130.876,337,1646.9288763592428
2023-01-02 07:00:00,130.882,130.958,130.872,130.914,721,1646.9288763592428
2023-01-02 07:30:00,130.915,130.927,130.879,130.89,1249,1646.9288763592428
2023-01-02 08:00:00,130.89,130.925,130.885,130.91,552,1646.9288763592428
2023-01-02 08:30:00,130.907,130.935,130.88,130.919,455,1646.9288763592428
2023-01-02 09:00:00,130.917,130.97,130.891,130.923,454,1646.9288763592428
2023-01-02 09:30:00,130.906,130.969,130.898,130.936,955,1646.9288763592428
2023-01-02 10:00:00,130.932,130.962,130.898,130.922,432,1646.9288763592428
2023-01-02 10:30:00,130.922,130.961,130.908,130.934,811,1646.9288763592428
2023-01-02 11:00:00,130.923,130.958,130.906,130.911,585,1646.9288763592428
2023-01-02 11:30:00,130.911,130.914,130.843,130.853,376,1646.9288763592428
2023-01-02 12:00:00,130.853,130.875,130.742,130.771,922,1646.9288763592428
2023-01-02 12:30:00,130.753,130.801,130.753,130.782,306,1646.9288763592428
2023-01-02 13:00:00,130.782,130.878,130.778,130.809,511,1646.9288763592428
2023-01-02 13:30:00,130.81,130.846,130.756,130.765,399,1646.9288763592428
2023-01-02 14:00:00,130.764,130.801,130.697,130.77,499,1646.9288763592428
2023-01-02 14:30:00,130.77,130.8,130.717,130.725,620,1646.9288763592428
2023-01-02 15:00:00,130.725,130.746,130.607,130.645,963,1646.9288763592428
2023-01-02 15:30:00,130.641,130.681,130.598,130.623,854,1646.9288763592428
2023-01-02 16:00:00,130.639,130.704,130.612,130.693,1582,1646.9288763592428
2023-01-02 16:30:00,130.687,130.771,130.645,130.695,1190,1646.9288763592428
2023-01-02 17:00:00,130.695,130.841,130.681,130.767,3408,1646.9288763592428
2023-01-02 17:30:00,130.766,130.82,130.745,130.776,3332,1646.9288763592428
2023-01-02 18:00:00,130.769,130.828,130.657,130.78,5484,1646.9288763592428
2023-01-02 18:30:00,130.78,130.789,130.735,130.744,1218,1646.9288763592428
2023-01-02 19:00:00,130.743,130.764,130.73,130.755,870,1646.9288763592428
2023-01-02 19:30:00,130.75,130.812,130.722,130.77,4752,1646.9288763592428
2023-01-02 20:00:00,130.777,130.787,130.729,130.758,1014,1646.9288763592428
2023-01-02 20:30:00,130.756,130.789,130.726,130.772,2039,1646.9288763592428
2023-01-02 21:00:00,130.772,130.773,130.754,130.766,132,1646.9288763592428
2023-01-02 21:30:00,130.766,130.778,130.712,130.733,137,1646.9288763592428
2023-01-02 22:00:00,130.733,130.734,130.705,130.725,199,1646.9288763592428
2023-01-02 22:30:00,130.725,130.734,130.695,130.699,118,1646.9288763592428
2023-01-02 23:00:00,130.699,130.742,130.646,130.648,296,1646.9288763592428
2023-01-02 23:30:00,130.643,130.653,130.599,130.621,362,1646.9288763592428
2023-01-03 00:00:00,130.794,130.997,130.592,130.713,182,1646.9288763592428
2023-01-03 00:30:00,130.713,130.729,130.7,130.705,227,1646.9288763592428
2023-01-03 01:00:00,130.704,131.398,130.533,130.965,2465,1646.9288763592428
2023-01-03 01:30:00,130.972,131.004,130.708,130.791,2321,1646.9288763592428
2023-01-03 02:00:00,130.785,130.9,130.755,130.804,2126,1646.9288763592428
2023-01-03 02:30:00,130.803,130.804,130.569,130.606,2267,1646.9288763592428
2023-01-03 03:00:00,130.612,130.713,129.829,129.913,3702,1646.9288763592428
2023-01-03 03:30:00,129.909,130.334,129.809,130.149,3221,1646.9288763592428
2023-01-03 04:00:00,130.152,130.304,130.006,130.061,1958,1646.9288763592428
2023-01-03 04:30:00,130.061,130.072,129.778,129.919,2483,1646.9288763592428
2023-01-03 05:00:00,129.919,129.98,129.724,129.804,2346,1646.9288763592428
2023-01-03 05:30:00,129.805,129.851,129.676,129.783,1943,1646.9288763592428
2023-01-03 06:00:00,129.782,129.798,129.504,129.628,2145,1646.9288763592428
2023-01-03 06:30:00,129.629,129.652,129.512,129.59,1747,1646.9288763592428
2023-01-03 07:00:00,129.592,129.825,129.548,129.745,1984,1646.9288763592428
2023-01-03 07:30:00,129.745,129.949,129.721,129.814,1936,1646.9288763592428
2023-01-03 08:00:00,129.813,129.817,129.613,129.786,2258,1646.9288763592428
2023-01-03 08:30:00,129.787,130.057,129.769,129.839,2811,1646.9288763592428
2023-01-03 09:00:00,129.839,130.053,129.78,129.886,2537,1646.9288763592428
2023-01-03 09:30:00,129.889,130.248,129.852,130.108,2992,1646.9288763592428
2023-01-03 10:00:00,130.107,130.858,130.094,130.757,4539,1646.9288763592428
2023-01-03 10:30:00,130.758,130.956,130.66,130.777,4159,1646.9288763592428
2023-01-03 11:00:00,130.778,130.798,130.309,130.403,4341,1646.9288763592428
2023-01-03 11:30:00,130.4,130.519,130.307,130.414,3010,1646.9288763592428
2023-01-03 12:00:00,130.411,130.658,130.357,130.542,2626,1646.9288763592428
2023-01-03 12:30:00,130.543,130.732,130.498,130.687,2315,1646.9288763592428
2023-01-03 13:00:00,130.688,130.756,130.624,130.687,1947,1646.9288763592428
2023-01-03 13:30:00,130.685,130.881,130.68,130.871,1831,1646.9288763592428
2023-01-03 14:00:00,130.87,131.185,130.865,130.927,2857,1646.9288763592428
2023-01-03 14:30:00,130.925,131.037,130.83,130.971,2316,1646.9288763592428
2023-01-03 15:00:00,130.972,131.0,130.674,130.749,3225,1646.9288763592428
2023-01-03 15:30:00,130.75,130.813,130.587,130.652,2813,1646.9288763592428
2023-01-03 16:00:00,130.654,130.79,130.497,130.509,2370,1646.9288763592428
2023-01-03 16:30:00,130.508,130.563,130.049,130.184,3793,1646.9288763592428
2023-01-03 17:00:00,130.184,130.84,130.183,130.794,3872,1646.9288763592428
2023-01-03 17:30:00,130.796,130.931,130.634,130.739,3684,1646.9288763592428
2023-01-03 18:00:00,130.74,130.871,130.616,130.787,3367,1646.9288763592428
2023-01-03 18:30:00,130.785,131.101,130.773,130.829,3167,1646.9288763592428
2023-01-03 19:00:00,130.831,130.879,130.72,130.853,1872,1646.9288763592428
2023-01-03 19:30:00,130.853,130.879,130.755,130.791,1681,1646.9288763592428
2023-01-03 20:00:00,130.788,130.808,130.597,130.612,1631,1646.9288763592428
2023-01-03 20:30:00,130.612,130.672,130.6,130.616,1514,1646.9288763592428
2023-01-03 21:00:00,130.616,130.702,130.571,130.669,1151,1646.9288763592428
2023-01-03 21:30:00,130.671,130.784,130.668,130.777,1402,1646.9288763592428
2023-01-03 22:00:00,130.777,130.925,130.748,130.873,1159,1646.9288763592428
2023-01-03 22:30:00,130.873,130.962,130.834,130.959,1037,1646.9288763592428
2023-01-03 23:00:00,130.959,131.015,130.884,130.932,1122,1646.9288763592428
2023-01-03 23:30:00,130.932,131.035,130.913,130.98,972,1646.9288763592428
2023-01-04 00:00:00,131.014,131.034,130.999,131.016,155,1646.9288763592428
2023-01-04 00:30:00,131.016,131.019,130.962,130.988,922,1646.9288763592428
2023-01-04 01:00:00,130.983,131.465,130.974,131.326,1869,1646.9288763592428
2023-01-04 01:30:00,131.327,131.346,131.121,131.293,2106,1646.9288763592428
2023-01-04 02:00:00,131.292,131.299,130.818,131.079,2720,1646.9288763592428
2023-01-04 02:30:00,131.077,131.085,130.853,131.013,2400,1646.9288763592428
2023-01-04 03:00:00,131.013,131.212,130.905,131.014,2611,1646.9288763592428
2023-01-04 03:30:00,131.014,131.041,130.58,130.643,2516,1646.9288763592428
2023-01-04 04:00:00,130.643,130.815,130.629,130.739,2063,1646.9288763592428
2023-01-04 04:30:00,130.74,130.933,130.665,130.814,1927,1646.9288763592428
2023-01-04 05:00:00,130.815,130.857,130.7,130.725,1722,1646.9288763592428
2023-01-04 05:30:00,130.726,130.737,130.615,130.646,1318,1646.9288763592428
2023-01-04 06:00:00,130.646,130.829,130.642,130.829,1402,1646.9288763592428
2023-01-04 06:30:00,130.828,130.949,130.794,130.828,1487,1646.9288763592428
2023-01-04 07:00:00,130.829,130.95,130.75,130.857,1639,1646.9288763592428
2023-01-04 07:30:00,130.856,130.991,130.82,130.848,1549,1646.9288763592428
2023-01-04 08:00:00,130.846,130.853,130.681,130.771,1530,1646.9288763592428
2023-01-04 08:30:00,130.77,130.872,130.688,130.725,1801,1646.9288763592428
2023-01-04 09:00:00,130.724,130.75,130.382,130.433,2695,1646.9288763592428
2023-01-04 09:30:00,130.431,130.435,130.114,130.244,3713,1646.9288763592428
2023-01-04 10:00:00,130.248,130.298,130.032,130.05,4606,1646.9288763592428
2023-01-04 10:30:00,130.051,130.524,129.923,130.503,4226,1646.9288763592428
2023-01-04 11:00:00,130.503,130.623,130.301,130.303,2997,1646.9288763592428
2023-01-04 11:30:00,130.303,130.462,130.273,130.418,2623,1646.9288763592428
2023-01-04 12:00:00,130.419,130.565,130.417,130.553,2036,1646.9288763592428
2023-01-04 12:30:00,130.552,130.554,130.424,130.424,2067,1646.9288763592428
2023-01-04 13:00:00,130.426,130.442,130.277,130.412,1731,1646.9288763592428
2023-01-04 13:30:00,130.413,130.591,130.41,130.531,1884,1646.9288763592428
2023-01-04 14:00:00,130.531,130.875,130.515,130.847,2866,1646.9288763592428
2023-01-04 14:30:00,130.848,130.972,130.792,130.833,2790,1646.9288763592428
