close,close_lag_1,close_lag_3,close_lag_5,close_change_abs,close_change_pct,high_low_range,average_price,SMA_5,EMA_5,SMA_10,EMA_10,BollingerB_upper_20,BollingerB_lower_20,MACD,RSI,Stochastic_oscillator,Label_1,Label_2,Label_3,Label_4,Label_5,Label_6,Label_7,Label_8,Label_9,Label_10
130.922,130.936,130.919,130.89,-0.014000000000010004,-0.00010692246593768662,0.06399999999999295,130.92733333333334,130.92200000000003,130.92131708549823,130.9113,130.9123438398753,131.01982625293533,130.76597374706466,0.035107340832468026,58.65724381625424,68.86227544910659,1,0,0,0,0,0,0,0,0,0
130.934,130.922,130.923,130.91,0.012000000000000455,9.165762820617651e-05,0.05300000000002569,130.93433333333334,130.92680000000001,130.9255447236655,130.9129,130.91628132353432,131.01149734616877,130.79240265383123,0.034608274694733154,58.0645161290293,66.94214876033193,0,0,0,0,0,0,0,0,0,0
130.911,130.934,130.936,130.919,-0.022999999999996135,-0.0001756610200558395,0.0519999999999925,130.925,130.9252,130.92069648244367,130.9135,130.91532108289172,130.99113165493637,130.8293683450636,0.03198811433392734,41.176470588236,49.5726495726475,0,0,0,0,0,0,0,0,0,0
130.853,130.911,130.922,130.923,-0.057999999999992724,-0.0004430490944228316,0.07099999999999795,130.86999999999998,130.9112,130.8981309882958,130.91119999999998,130.90398997691142,130.9921077084583,130.8271922915417,0.024943964600112167,32.65306122448979,7.874015748046122,0,0,0,0,0,0,0,0,0,0
130.771,130.853,130.934,130.936,-0.08200000000002206,-0.000626657394175334,0.13300000000000978,130.79599999999996,130.8782,130.8557539921972,130.89690000000002,130.87980998110933,130.99372672845155,130.80377327154847,0.012599471622337433,27.42857142857069,12.719298245611958,1,1,0,0,0,0,0,0,0,0
130.782,130.771,130.911,130.922,0.011000000000024102,8.41165090121887e-05,0.04800000000000182,130.77866666666668,130.85020000000003,130.8311693281315,130.8861,130.86202634818036,130.996020537473,130.800279462527,0.003661769470284071,30.571428571432023,17.543859649131118,1,0,0,0,0,0,0,0,0,0
130.809,130.782,130.853,130.934,0.026999999999986812,0.00020645042895806043,0.09999999999999432,130.82166666666663,130.8252,130.82377955208767,130.876,130.85238519396574,131.00019052651447,130.78970947348552,-0.0012285871385415703,36.81318681318749,29.38596491228278,0,0,0,0,0,0,0,0,0,0
130.765,130.809,130.771,130.911,-0.04400000000001114,-0.000336368292701672,0.09000000000000341,130.789,130.796,130.80418636805845,130.86059999999998,130.83649697688105,131.0090056487348,130.76849435126522,-0.008556033631066384,35.35620052770389,10.087719298243536,1,0,0,0,0,0,1,1,1,0
130.77,130.765,130.782,130.853,0.005000000000023874,3.8236531182178624e-05,0.103999999999985,130.756,130.77939999999998,130.79279091203898,130.8453,130.82440661744812,131.00691295878144,130.75228704121858,-0.013800545457058888,29.190751445095373,26.739926739929864,0,0,0,0,0,0,1,1,0,0
130.725,130.77,130.809,130.771,-0.045000000000015916,-0.0003441156228494169,0.08299999999999841,130.74733333333336,130.7702,130.77019394135934,130.8242,130.806332687003,131.00769475182415,130.72850524817585,-0.021341965885312675,27.520435967309893,10.25641025640732,0,0,0,0,1,1,1,1,1,1
130.645,130.725,130.765,130.782,-0.07999999999998408,-0.0006119716963088884,0.13900000000001,130.66600000000003,130.7428,130.7284626275729,130.79649999999998,130.77699947118427,131.0222316275752,130.68556837242483,-0.0333890392591627,18.969555035136054,10.46831955923167,0,1,1,1,1,1,1,1,1,1
130.623,130.645,130.77,130.809,-0.02200000000001978,-0.00016839526962397766,0.08299999999999841,130.634,130.7056,130.69330841838195,130.7654,130.74899956733256,131.03351728661292,130.64478271338706,-0.044202113392429965,16.363636363640353,6.720430107521028,1,1,1,1,1,1,1,1,1,1
130.693,130.623,130.725,130.765,0.0700000000000216,0.0005358933725303494,0.09200000000001296,130.66966666666667,130.6912,130.69320561225464,130.7436,130.73881782781754,131.03076143181806,130.62633856818195,-0.0465861217487884,27.272727272733405,25.60646900269643,1,1,1,1,1,1,1,1,1,1
130.695,130.693,130.645,130.77,0.001999999999981128,1.5303038418235104e-05,0.12599999999997635,130.70366666666666,130.67620000000002,130.6938037415031,130.7278,130.73085095003253,131.0288453455041,130.61015465449591,-0.0477634944297165,25.656565656568674,26.64835164834792,1,1,1,1,1,1,1,1,1,1
130.767,130.695,130.623,130.725,0.07200000000000273,0.0005509009525996866,0.1599999999999966,130.763,130.6846,130.7182024943354,130.72740000000002,130.73742350457206,131.01781531319756,130.60648468680245,-0.04239803434290934,35.98553345388987,46.5564738291964,1,1,0,0,1,0,1,0,0,0
