close,close_lag_1,close_lag_3,close_lag_5,close_change_abs,close_change_pct,high_low_range,average_price,SMA_5,EMA_5,SMA_10,EMA_10,BollingerB_upper_20,BollingerB_lower_20,MACD,RSI,Stochastic_oscillator,Label_1,Label_2,Label_3,Label_4,Label_5,Label_6,Label_7,Label_8,Label_9,Label_10
1.06762,1.06789,1.06819,1.06918,-0.00026999999999999247,-0.00025283502982520467,0.0009600000000000719,1.0675933333333332,1.068214,1.0681329380700186,1.068785,1.068586797042906,1.0711372648906847,1.0675627351093153,-0.000494138726805371,28.753993610225848,30.331753554501923,1,1,1,1,1,1,1,1,1,1
1.06788,1.06762,1.06799,1.06938,0.00025999999999992696,0.00024353234296836668,0.0021999999999999797,1.0683533333333333,1.0679139999999998,1.0680486253800123,1.068684,1.0684582884896503,1.070952280748117,1.067448719251883,-0.0005240475437564562,33.55048859934874,39.28571428571186,1,0,1,1,1,1,1,1,1,0
1.06833,1.06788,1.06789,1.06819,0.00045000000000006146,0.0004213956624339321,0.0019200000000001438,1.06865,1.067942,1.0681424169200082,1.068527,1.0684349633097137,1.0708810486861544,1.0673619513138457,-0.0005056108898719991,40.87947882736219,50.76530612244834,0,0,1,0,1,1,0,1,0,0
1.06785,1.06833,1.06762,1.06799,-0.00048000000000003595,-0.00044929937378901386,0.0007599999999998719,1.0679966666666667,1.067914,1.0680449446133389,1.068338,1.0683286063443111,1.070824271740544,1.0672127282594557,-0.000523694868852953,41.08019639934578,38.52040816326351,1,1,1,1,1,1,1,0,1,0
1.06822,1.06785,1.06788,1.06789,0.00036999999999998145,0.00034649061197722375,0.0011699999999998933,1.0683233333333335,1.06798,1.0681032964088926,1.068253,1.0683088597362544,1.0707238424255265,1.0671451575744733,-0.0005023795262442121,40.0,47.95918367346731,1,0,1,1,0,1,0,0,0,0
1.06834,1.06822,1.06833,1.06762,0.00012000000000012001,0.00011233641010299777,0.0013100000000001444,1.06815,1.0681239999999999,1.0681821976059285,1.068169,1.06831452160239,1.0704541584517566,1.067191841548243,-0.0004703816991149523,45.08050089445629,51.02040816326635,0,1,1,0,1,0,0,0,0,0
1.0682,1.06834,1.06785,1.06788,-0.000140000000000029,-0.00013104442405975636,0.0005199999999998539,1.0682666666666667,1.068188,1.0681881317372857,1.068051,1.0682936994928645,1.0702189775436917,1.0672190224563083,-0.0004511197923995347,31.991525423729513,51.810584958216765,1,1,1,1,0,0,0,0,0,0
1.06843,1.0682,1.06822,1.06833,0.00022999999999995246,0.00021531548399167377,0.000600000000000156,1.0683766666666668,1.0682079999999998,1.068268754491524,1.068075,1.0683184814032527,1.0700423306230442,1.0672486693769556,-0.00041254001030188725,36.325678496869486,58.21727019498428,0,0,0,0,0,0,0,0,0,0
1.06838,1.06843,1.06834,1.06785,-4.999999999988347e-05,-4.6797637655138224e-05,0.0010100000000001774,1.0682433333333334,1.068314,1.0683058363276827,1.068114,1.0683296666026612,1.069940208948354,1.067243791051646,-0.00038160097862660614,41.726618705037694,56.82451253482039,0,1,0,0,0,0,0,0,0,0
1.06821,1.06838,1.0682,1.06822,-0.00017000000000000348,-0.0001591194144405783,0.0007600000000000939,1.06827,1.0683120000000002,1.068273890885122,1.068146,1.0683079090385408,1.0699035664515875,1.0672074335484125,-0.00036657352100499807,38.53427895981176,54.5189504373182,1,0,0,0,0,0,0,0,0,0
1.06841,1.06821,1.06843,1.06834,0.00019999999999997797,0.00018722910289170613,0.0007800000000000029,1.0682633333333333,1.068326,1.0683192605900813,1.068225,1.0683264710315332,1.0697909483496222,1.067219051650378,-0.00033466797989389896,38.53427895981176,60.34985422740494,0,0,0,0,0,0,0,0,0,0
1.06782,1.06841,1.06838,1.0682,-0.0005900000000000905,-0.0005522224614147309,0.0008399999999999519,1.0679933333333336,1.0682500000000001,1.0681528403933875,1.068219,1.0682343853894363,1.0697588601364265,1.0671441398635737,-0.0003529224080274229,44.903581267217916,43.14868804664451,1,0,0,0,0,0,0,0,0,0
1.06806,1.06782,1.06821,1.06843,0.00024000000000001798,0.00022475698151369627,0.00034000000000000696,1.0680133333333333,1.068176,1.0681218935955918,1.0681920000000003,1.0682026789549932,1.0694838238904016,1.0672351761095986,-0.000344057103482065,50.95367847411462,50.14577259474991,0,0,0,0,0,0,0,0,0,0
1.06724,1.06806,1.06841,1.06838,-0.0008200000000000429,-0.000767747130311025,0.0010900000000000354,1.06747,1.067948,1.067827929063728,1.0681310000000002,1.0680276464177216,1.0692645224831483,1.0672044775168517,-0.00039860357879883956,42.596810933940525,7.326007326006194,0,0,0,0,0,0,0,0,0,0
1.06664,1.06724,1.06782,1.06821,-0.0005999999999999339,-0.0005621978186723942,0.0009099999999999664,1.06683,1.0676340000000002,1.067431952709152,1.067973,1.067775347069045,1.069290742711605,1.0669352572883948,-0.00048466017822001994,39.61864406779694,5.151515151515131,0,0,0,0,0,0,0,0,0,0
1.06603,1.06664,1.06806,1.06841,-0.0006099999999999994,-0.0005718892972323975,0.0009799999999999809,1.0662433333333332,1.0671579999999998,1.0669646351394348,1.067742,1.0674580112383094,1.0693542133185077,1.0665567866814925,-0.0005952212156217218,31.755424063117758,4.3478260869565215,0,0,0,0,0,0,0,0,0,1
1.06539,1.06603,1.06724,1.06782,-0.0006399999999999739,-0.0006003583388834999,0.0018400000000000638,1.0659233333333333,1.066672,1.0664397567596233,1.0674610000000002,1.0670820091949804,1.069413485730669,1.0660985142693309,-0.0007261140943197741,22.053231939164263,3.252032520328481,1,1,1,0,0,0,1,1,1,1
