close,close_lag_1,close_lag_3,close_lag_5,close_change_abs,close_change_pct,high_low_range,average_price,SMA_5,EMA_5,SMA_10,EMA_10,BollingerB_upper_20,BollingerB_lower_20,MACD,RSI,Stochastic_oscillator,Label_1,Label_2,Label_3,Label_4,Label_5,Label_6,Label_7,Label_8,Label_9,Label_10
89.27,89.29,89.03,88.91,-0.020000000000010232,-0.00022398924851618762,0.4199999999999875,89.16333333333334,89.146,89.15512711194731,88.947,89.08806049901949,89.47388170067016,88.50811829932987,-0.29985673263504964,58.64661654135292,89.28571428571392,1,1,1,1,0,0,0,0,0,0
89.42,89.27,89.18,88.96,0.15000000000000568,0.0016802957320489753,0.37000000000000455,89.43,89.238,89.24341807463153,89.01899999999999,89.14841313556138,89.43832468212433,88.53067531787566,-0.2522798490060012,62.837837837837526,81.8181818181817,1,1,0,0,0,0,0,0,0,0
89.57,89.42,89.29,89.03,0.14999999999999147,0.0016774770744798495,0.28000000000000114,89.49000000000001,89.34599999999999,89.35227871642103,89.10300000000001,89.22506529273203,89.539394322838,88.49560567716202,-0.20016371682932288,72.48322147650951,95.45454545454446,0,0,0,0,0,0,0,0,0,0
89.52,89.57,89.27,89.18,-0.04999999999999716,-0.0005582226191804818,0.3399999999999892,89.53333333333332,89.41399999999999,89.40818581094734,89.18,89.27868978496257,89.6125880048116,88.4874119951884,-0.16103952533103438,77.69784172661855,84.03361344537831,0,0,0,0,0,0,0,0,0,0
89.29,89.52,89.42,89.29,-0.22999999999998977,-0.002569258266309049,0.4200000000000017,89.41666666666667,89.414,89.36879054063158,89.244,89.28074618769664,89.63197293661614,88.48702706338386,-0.14689903882575095,64.7058823529414,64.70588235294215,0,0,0,0,0,0,0,0,0,0
89.25,89.29,89.57,89.27,-0.04000000000000625,-0.0004479784970322642,0.7700000000000102,89.21999999999998,89.41,89.32919369375439,89.27799999999999,89.27515597175179,89.61796577909445,88.49103422090553,-0.13733713015265891,69.23076923076923,61.3445378151265,0,0,0,0,0,0,0,0,0,0
88.56,89.25,89.52,89.42,-0.6899999999999977,-0.007731092436974785,0.7800000000000011,88.77333333333333,89.238,89.07279579583627,89.238,89.14512761325145,89.63589591221474,88.42510408778524,-0.18332324580590864,45.93301435406693,5.737704918033398,0,0,0,0,0,0,1,1,1,1
87.59,88.56,89.29,89.57,-0.9699999999999989,-0.010953026196928617,1.5999999999999943,88.06333333333333,88.84200000000001,88.57853053055752,89.094,88.86237713811481,89.84185757366575,88.07414242633425,-0.2946420173769013,30.92105263157896,4.072398190045415,0,1,1,1,1,1,1,1,1,1
87.44,87.59,89.25,89.52,-0.15000000000000568,-0.0017125242607604063,0.6200000000000045,87.53333333333335,88.42600000000002,88.19902035370501,88.92,88.60376311300303,89.99997934840444,87.77002065159554,-0.3904656473270762,30.42071197410992,6.967213114754174,1,1,1,1,1,1,1,1,1,1
87.94,87.44,88.56,89.29,0.5,0.005718206770356726,0.6599999999999966,87.71999999999998,88.156,88.11268023580334,88.785,88.48307891063882,90.03632257598669,87.6526774240133,-0.4212053500250761,35.43543543543551,27.45901639344272,1,0,1,1,1,1,1,1,1,1
88.04,87.94,87.59,89.25,0.10000000000000853,0.0011371389583807456,0.39000000000000057,88.07000000000001,87.91400000000002,88.08845349053557,88.662,88.4025191087045,90.04947262705058,87.5595273729494,-0.43251189373404486,36.390532544378985,31.55737704918078,0,1,1,1,1,1,1,1,1,1
87.63,88.04,87.44,88.56,-0.4100000000000108,-0.004656974102680733,0.5600000000000023,87.80333333333333,87.728,87.93563566035705,88.483,88.26206108894004,90.10230190635005,87.39969809364996,-0.46914793916147346,31.182795698924792,14.754098360655728,1,1,1,1,1,1,1,1,1,1
88.33,87.63,87.94,87.59,0.7000000000000028,0.00798813191829284,0.7400000000000091,88.08999999999999,87.876,88.06709044023803,88.359,88.27441361822368,90.0953876590656,87.3666123409344,-0.4366645224546346,40.0468384074941,43.4426229508198,1,1,1,1,1,1,0,1,1,0
88.84,88.33,88.04,87.44,0.5100000000000051,0.005773802785010718,0.5400000000000063,88.67999999999999,88.15599999999999,88.3247269601587,88.291,88.37724750581937,90.10074491729891,87.37025508270109,-0.36555455754238153,45.18201284796574,64.34426229508233,0,0,0,0,0,0,0,0,0,0
88.65,88.84,87.63,87.94,-0.18999999999999773,-0.0021386762719495245,0.20000000000000284,88.71,88.298,88.43315130677247,88.227,88.42683886839767,90.10074491729891,87.37025508270109,-0.32083245332289323,43.595041322314174,56.55737704918078,1,1,1,0,0,0,0,0,0,0
