close,close_lag_1,close_lag_3,close_lag_5,close_change_abs,close_change_pct,high_low_range,average_price,SMA_5,EMA_5,SMA_10,EMA_10,BollingerB_upper_20,BollingerB_lower_20,MACD,RSI,Stochastic_oscillator,Label_1,Label_2,Label_3,Label_4,Label_5,Label_6,Label_7,Label_8,Label_9,Label_10
100.82,98.47,99.87,94.85,2.3499999999999943,0.023865136589824365,3.5900000000000034,99.85666666666667,98.726,98.75892352043365,97.63399999999999,97.24167048268961,102.97773051254006,84.14326948745995,2.626029296514389,67.93950850661626,96.93788276465435,1,1,1,1,0,0,0,0,0,0
107.28,100.82,97.06,97.41,6.460000000000008,0.06407458837532243,7.36999999999999,105.17,100.7,101.59928234695579,99.054,99.06682130401876,105.3322772828118,83.77672271718818,3.276376583166197,74.77808386899297,97.07207207207209,0,0,1,0,0,0,0,0,0,0
104.73,107.28,98.47,99.87,-2.549999999999997,-0.023769574944071614,5.189999999999998,105.03333333333335,101.672,102.64285489797054,99.746,100.09649015783353,106.43094591310566,84.52205408689434,3.5451515048088993,68.56060606060608,82.713963963964,0,1,0,0,0,0,0,0,0,0
102.83,104.73,100.82,97.06,-1.9000000000000057,-0.018141888666093786,2.239999999999995,102.93666666666667,102.826,102.70523659864702,100.071,100.59349194731834,107.00163058547554,85.47536941452447,3.5637626086052165,65.92883160549174,71.05416423995342,1,0,0,0,0,0,0,0,0,0
107.44,102.83,107.28,98.47,4.609999999999999,0.04483127491977057,4.539999999999992,105.96,104.62,104.2834910657647,101.076,101.83831159326046,108.37368925742452,86.02431074257548,3.9054805661823195,70.12210316471466,97.87985865724383,0,0,0,0,0,0,0,0,0,0
99.43,107.44,104.73,100.82,-8.009999999999991,-0.07455323901712574,9.61,101.7,104.34200000000001,102.6656607105098,101.534,101.40043675812218,108.13090013439054,87.39009986560947,3.4897270507093197,56.850053937432584,43.2926829268293,0,0,0,0,0,0,0,0,0,0
94.74,99.43,102.83,107.28,-4.690000000000012,-0.047168862516343224,5.77000000000001,95.92333333333333,101.83399999999999,100.02377380700653,101.26700000000001,100.18944825664542,107.96284802201673,87.8991519779833,2.750094216071389,46.68538112718635,7.833450952717003,0,0,1,1,1,0,0,0,0,0
94.6,94.74,107.44,104.73,-0.14000000000000057,-0.0014777285201604817,2.4599999999999937,95.18666666666665,99.80799999999999,98.21584920467103,100.74000000000001,99.17318493725534,107.749721289699,88.463278710301,2.1281016052744803,44.427036705461056,6.84544812985179,0,1,1,1,0,0,0,0,0,0
94.59,94.6,99.43,102.83,-0.009999999999990905,-0.00010570824524303024,1.3499999999999943,94.54,98.16,97.00723280311404,100.493,98.3398785850271,107.59853818339613,88.87446181660388,1.6157358662709242,46.705882352941174,6.774876499647197,1,1,1,0,0,0,0,0,0,0
94.76,94.59,94.74,107.44,0.1700000000000017,0.0017972301511788302,2.519999999999996,93.93333333333334,95.624,96.25815520207604,100.12199999999999,97.68899156956762,107.36866178767364,89.43433821232635,1.209458026695259,49.887864440568165,16.087516087516097,1,1,0,0,0,0,0,0,0,0
96.43,94.76,94.6,99.43,1.6700000000000017,0.017623469818488724,2.9299999999999926,95.90666666666668,95.024,96.31543680138404,99.683,97.4600840114644,107.04319602122936,90.27380397877062,1.0105855537889994,48.75127420998982,26.83397683397686,0,0,0,0,0,0,0,0,0,0
95.53,96.43,94.59,94.74,-0.9000000000000057,-0.009333195063776945,2.9099999999999966,95.98666666666668,95.18199999999999,96.05362453425603,98.50800000000001,97.1091596457436,106.88957350034671,90.6724264996533,0.7714622709845145,44.24097664543523,21.04247104247103,0,0,0,0,0,0,0,0,0,0
94.21,95.53,94.76,94.6,-1.3200000000000074,-0.01381764890610282,2.319999999999993,94.31,95.104,95.43908302283737,97.456,96.58203971015385,106.95640518403938,90.24559481596062,0.47002423151108985,46.06244819010775,12.548262548262482,0,0,0,0,0,0,0,0,0,1
92.03,94.21,96.43,94.59,-2.1799999999999926,-0.023139794077061793,1.3800000000000097,92.27666666666669,94.592,94.30272201522492,96.376,95.75439612648951,107.0609830305799,89.38601696942007,0.054595291963408954,41.28787878787878,1.988812927284073,0,0,0,0,0,0,1,1,1,1
91.59,92.03,95.53,94.76,-0.4399999999999977,-0.004781049657720304,1.4899999999999949,91.43333333333332,93.958,93.39848134348328,94.79100000000001,94.99723319440051,107.25361808147464,88.61338191852538,-0.3066051055963328,36.8330955777461,5.700988947062269,0,0,0,0,0,1,1,1,1,1
91.03,91.59,94.21,96.43,-0.5600000000000023,-0.006114204607489904,2.010000000000005,90.84666666666665,92.878,92.6089875623222,93.951,94.27591806814586,107.47608348032314,88.00891651967684,-0.6307751594611233,22.126929674099486,7.099278979478653,0,0,0,0,1,1,1,1,1,1
89.05,91.03,92.03,95.53,-1.980000000000004,-0.021751071075469697,2.3100000000000023,89.49333333333334,91.58200000000001,91.42265837488148,93.38199999999999,93.32575114666479,107.80738926624811,86.84161073375189,-1.0355149434354018,22.56822953114066,2.56813417190773,1,1,1,1,1,1,1,1,1,1
89.64,89.05,91.59,94.21,0.5900000000000034,0.006625491297024277,0.7900000000000063,89.69666666666666,90.668,90.82843891658766,92.88600000000001,92.6556145745439,107.76092861926998,85.86507138073003,-1.2937524956268192,25.815914924825833,5.660377358490558,1,1,1,1,1,1,1,1,1,1
90.5,89.64,91.03,92.03,0.8599999999999994,0.009593931280678314,1.7800000000000011,90.38666666666666,90.362,90.7189592777251,92.477,92.26368465189955,107.78905330191921,85.18094669808079,-1.41272775736509,13.988095238095255,10.167714884696005,0,1,1,1,1,1,1,0,1,1
90.3,90.5,89.05,91.59,-0.20000000000000284,-0.0022099447513812542,1.3599999999999994,90.32666666666667,90.10400000000001,90.57930618515007,92.031,91.90665107882691,107.66541716480148,84.48758283519851,-1.5057969481017182,20.942075111394033,16.051660516605114,1,1,1,1,1,1,1,1,1,1
