close,close_lag_1,close_lag_3,close_lag_5,close_change_abs,close_change_pct,high_low_range,average_price,SMA_5,EMA_5,SMA_10,EMA_10,BollingerB_upper_20,BollingerB_lower_20,MACD,RSI,Stochastic_oscillator,Label_1,Label_2,Label_3,Label_4,Label_5,Label_6,Label_7,Label_8,Label_9,Label_10
127.2,127.92,128.11,126.65,-0.7199999999999989,-0.0056285178236397115,0.9899999999999949,127.34333333333332,127.64200000000001,127.38117729177029,126.66100000000002,126.94562846095879,128.36169292289722,123.24430707710279,-0.2928899617822367,67.73296244784419,67.78523489932911,1,0,0,0,0,0,1,0,0,0
127.39,127.2,128.05,126.93,0.18999999999999773,0.001493710691823802,0.3100000000000023,127.34666666666668,127.73400000000001,127.38411819451352,126.92999999999999,127.02642328623901,128.52099719585703,123.21400280414296,-0.22929285858519677,72.079772079772,72.03579418344542,0,0,0,0,0,0,0,0,0,0
126.6,127.39,127.92,128.11,-0.7900000000000063,-0.006201428683570209,1.5799999999999983,126.90000000000002,127.43199999999999,127.12274546300901,127.09700000000001,126.94889177965008,128.589319569195,123.254680430805,-0.23987298732160411,63.28437917222957,54.36241610738257,0,0,0,0,1,1,1,1,0,0
125.87,126.6,127.2,128.05,-0.7299999999999898,-0.005766192733017261,1.9099999999999966,126.19333333333334,126.99600000000001,126.70516364200601,127.03100000000002,126.75272963789551,128.59299312354113,123.35200687645886,-0.30366228490912306,57.40514075887396,38.03131991051474,1,0,0,1,1,1,1,1,1,0
126.34,125.87,127.39,127.92,0.46999999999999886,0.0037340112814809867,1.1099999999999994,126.28333333333335,126.67999999999999,126.58344242800402,127.106,126.67768788555087,128.62356839570555,123.45543160429445,-0.31268623846163734,59.010600706713774,45.75471698113223,0,0,1,1,1,1,1,0,0,1
125.34,126.34,126.6,127.2,-1.0,-0.007915149596327331,1.259999999999991,125.70666666666666,126.30799999999999,126.16896161866936,126.975,126.43447190635979,128.61458479391516,123.50241520608485,-0.39596499137644514,53.411513859275054,19.708029197080418,1,1,1,1,1,1,1,1,1,1
125.77,125.34,125.87,127.39,0.4299999999999926,0.0034306685814584625,1.0200000000000102,125.81,125.98400000000001,126.03597441244625,126.85900000000001,126.3136588324762,128.5884099673019,123.64059003269806,-0.42239746170712067,54.38413361169097,20.277777777777604,1,1,1,1,1,1,1,1,1,1
127.39,125.77,126.34,126.6,1.6200000000000045,0.012880655164188681,2.239999999999995,126.84333333333332,126.14200000000001,126.48731627496417,126.78699999999999,126.50935722657144,128.64873893183028,123.8902610681697,-0.30906224659061365,54.47916666666666,63.34310850439906,0,0,0,0,0,0,0,0,0,0
126.74,127.39,125.34,125.87,-0.6500000000000057,-0.005102441321924833,1.240000000000009,126.76666666666667,126.31599999999999,126.57154418330944,126.65599999999999,126.55129227628572,128.6298519075247,124.12214809247533,-0.26859662509943405,56.176154672395214,43.78698224852065,1,1,0,0,0,0,0,0,0,0
126.77,126.74,125.77,126.34,0.030000000000001137,0.0002367050654883407,0.8599999999999994,126.64333333333333,126.402,126.6376961222063,126.54099999999998,126.59105731696104,128.58999185313507,124.37300814686496,-0.2314386980040979,50.724637681159365,44.67455621301773,1,0,0,0,0,0,0,0,0,0
126.92,126.77,127.39,125.34,0.15000000000000568,0.0011832452472984034,0.6200000000000045,126.72000000000001,126.71799999999999,126.73179741480419,126.513,126.65086507751357,128.54943779653348,124.6245622034665,-0.18772307195497717,49.938650306748436,49.112426035503134,0,0,0,0,0,0,0,0,0,1
126.54,126.92,126.74,125.77,-0.37999999999999545,-0.0029940119760478723,0.5799999999999983,126.7,126.872,126.6678649432028,126.428,126.63070779069292,128.43010070647313,124.92789929352692,-0.18164703363210322,39.31972789115642,37.869822485207344,0,0,0,0,0,0,0,0,1,1
126.34,126.54,126.77,127.39,-0.20000000000000284,-0.001580527896317352,0.6000000000000085,126.44000000000001,126.662,126.55857662880187,126.40200000000002,126.57785182874875,128.30694020752003,125.19205979247994,-0.19077096903575352,38.58477970627499,31.952662721893617,0,1,0,0,0,0,0,1,1,1
125.8,126.34,126.92,126.74,-0.5400000000000063,-0.004274180782016801,0.6500000000000057,126.01666666666667,126.474,126.30571775253458,126.39500000000001,126.4364242235217,128.32534840168654,125.10065159831348,-0.23882224641428706,36.58227848101264,20.377358490565804,1,1,1,0,0,0,1,1,1,1
126.51,125.8,126.54,126.77,0.710000000000008,0.0056438791732909,1.2399999999999949,126.44333333333333,126.422,126.37381183502306,126.412,126.44980163742683,128.2867213854558,125.23127861454417,-0.21710946092549932,45.62737642585553,48.44961240310081,0,0,0,0,0,1,1,1,1,1
126.04,126.51,126.34,126.92,-0.46999999999999886,-0.003715121334281868,0.5300000000000011,126.20333333333333,126.24600000000001,126.26254122334872,126.482,126.37529224880377,128.28938065560845,125.16761934439151,-0.23511671490521735,41.73806609547128,30.232558139534948,0,0,0,0,1,1,1,1,1,1
125.93,126.04,125.8,126.54,-0.10999999999999943,-0.0008727388130752578,0.5500000000000114,126.04,126.124,126.15169414889917,126.498,126.29433002174855,128.2758435184047,125.0811564815953,-0.25532049833769577,45.52736982643534,27.572016460905502,0,0,0,1,1,1,1,1,1,1
125.16,125.93,126.51,126.34,-0.7700000000000102,-0.006114508060033441,1.0699999999999932,125.43666666666667,125.888,125.82112943259945,126.275,126.08808819961246,128.11653859353186,124.94546140646813,-0.3296645395074478,45.28552456839306,4.528301886792103,0,1,1,1,1,1,1,1,1,1
125.06,125.16,126.04,125.8,-0.09999999999999432,-0.0007989773090443242,0.35999999999999943,125.13333333333333,125.74000000000001,125.56741962173298,126.10700000000001,125.90116307241018,127.92733685392325,124.83566314607673,-0.3921316425378052,41.0614525139665,2.5925925925928635,1,1,1,1,1,1,1,1,1,1
125.22,125.06,125.93,126.51,0.1599999999999966,0.0012793858947703907,2.1299999999999955,125.81,125.48200000000001,125.45161308115533,125.952,125.77731524106287,127.69514764521949,124.79785235478053,-0.42384083559534247,49.05063291139238,8.518518518518658,1,1,1,1,1,1,1,1,1,1
127.0,125.22,125.16,126.04,1.7800000000000011,0.01421498163232715,2.3299999999999983,126.37666666666667,125.674,125.96774205410355,125.96,125.99962156086961,127.65997647088312,124.81302352911689,-0.3018598234826442,58.01825293350716,75.26881720430109,1,1,1,1,1,1,1,1,1,1
127.36,127.0,125.06,125.93,0.35999999999999943,0.002834645669291369,1.230000000000004,127.03000000000002,125.96,126.43182803606905,126.042,126.24696309525694,127.65341275263656,124.81658724736342,-0.17413270774210332,49.76599063962558,95.34883720930215,1,0,1,1,1,1,1,1,1,1
127.48,127.36,125.22,125.16,0.12000000000000455,0.0009422110552763652,1.0100000000000051,127.50333333333334,126.424,126.7812186907127,126.15599999999999,126.47115162339205,127.79623987625729,124.7617601237427,-0.06250453777170151,56.29251700680277,82.69230769230752,0,1,1,1,1,1,1,1,1,1
127.34,127.48,127.0,125.06,-0.14000000000000057,-0.0010982114841543433,0.6800000000000068,127.33999999999999,126.88,126.96747912714181,126.30999999999999,126.62912405550257,127.92763407950595,124.77736592049406,0.01449764141048604,54.75792988313861,78.20512820512802,1,1,1,1,1,1,1,1,1,1
128.17,127.34,127.36,125.22,0.8299999999999841,0.006517983351656875,1.039999999999992,127.94333333333333,127.47,127.36831941809454,126.476,126.90928331813845,128.21634189406944,124.67165810593056,0.1408725949986831,59.3703148425786,94.78260869565196,0,1,1,1,1,1,1,1,1,1
